"Sample ID","Wavelength (nm)","Absorbance"
"WHI-B-1",431,0.04
"WHI-B-1",432,0.039
"WHI-B-1",433,0.038
"WHI-B-1",434,0.038
"WHI-B-1",435,0.037
"WHI-B-1",436,0.037
"WHI-B-1",437,0.036
"WHI-B-1",438,0.035
"WHI-B-1",439,0.035
"WHI-B-1",440,0.034
"WHI-B-1",441,0.034
"WHI-B-1",442,0.033
"WHI-B-1",443,0.033
"WHI-B-1",444,0.032
"WHI-B-1",445,0.032
"WHI-B-1",446,0.031
"WHI-B-1",447,0.031
"WHI-B-1",448,0.031
"WHI-B-1",449,0.03
"WHI-B-1",450,0.03
"WHI-B-1",451,0.029
"WHI-B-1",452,0.029
"WHI-B-1",453,0.029
"WHI-B-1",454,0.028
"WHI-B-1",455,0.028
"WHI-B-1",456,0.027
"WHI-B-1",457,0.027
"WHI-B-1",458,0.027
"WHI-B-1",459,0.026
"WHI-B-1",460,0.026
"WHI-B-1",461,0.025
"WHI-B-1",462,0.025
"WHI-B-1",463,0.025
"WHI-B-1",464,0.025
"WHI-B-1",465,0.024
"WHI-B-1",466,0.024
"WHI-B-1",467,0.024
"WHI-B-1",468,0.023
"WHI-B-1",469,0.023
"WHI-B-1",470,0.023
"WHI-B-1",471,0.023
"WHI-B-1",472,0.022
"WHI-B-1",473,0.022
"WHI-B-1",474,0.022
"WHI-B-1",475,0.022
"WHI-B-1",476,0.021
"WHI-B-1",477,0.021
"WHI-B-1",478,0.021
"WHI-B-1",479,0.021
"WHI-B-1",480,0.02
"WHI-B-1",481,0.02
"WHI-B-1",482,0.02
"WHI-B-1",483,0.02
"WHI-B-1",484,0.019
"WHI-B-1",485,0.019
"WHI-B-1",486,0.019
"WHI-B-1",487,0.019
"WHI-B-1",488,0.019
"WHI-B-1",489,0.018
"WHI-B-1",490,0.018
"WHI-B-1",491,0.018
"WHI-B-1",492,0.018
"WHI-B-1",493,0.018
"WHI-B-1",494,0.018
"WHI-B-1",495,0.017
"WHI-B-1",496,0.017
"WHI-B-1",497,0.017
"WHI-B-1",498,0.017
"WHI-B-1",499,0.017
"WHI-B-1",500,0.017
"WHI-B-1",501,0.017
"WHI-B-1",502,0.016
"WHI-B-1",503,0.016
"WHI-B-1",504,0.016
"WHI-B-1",505,0.016
"WHI-B-1",506,0.016
"WHI-B-1",507,0.016
"WHI-B-1",508,0.015
"WHI-B-1",509,0.015
"WHI-B-1",510,0.015
"WHI-B-1",511,0.015
"WHI-B-1",512,0.015
"WHI-B-1",513,0.015
"WHI-B-1",514,0.015
"WHI-B-1",515,0.015
"WHI-B-1",516,0.015
"WHI-B-1",517,0.014
"WHI-B-1",518,0.014
"WHI-B-1",519,0.014
"WHI-B-1",520,0.014
"WHI-B-1",521,0.014
"WHI-B-1",522,0.014
"WHI-B-1",523,0.014
"WHI-B-1",524,0.014
"WHI-B-1",525,0.014
"WHI-B-1",526,0.013
"WHI-B-1",527,0.013
"WHI-B-1",528,0.013
"WHI-B-1",529,0.013
"WHI-B-1",530,0.013
"WHI-B-1",531,0.013
"WHI-B-1",532,0.013
"WHI-B-1",533,0.013
"WHI-B-1",534,0.013
"WHI-B-1",535,0.013
"WHI-B-1",536,0.013
"WHI-B-1",537,0.013
"WHI-B-1",538,0.013
"WHI-B-1",539,0.012
"WHI-B-1",540,0.012
"WHI-B-1",541,0.012
"WHI-B-1",542,0.012
"WHI-B-1",543,0.012
