SampleID,Site,Date Sampled,OS Conference,Vegetation,Altitude (m),Pteridium aquilinium,Calunna vulgaris,Vaccinium vitis-idaea,Vaccinium mytrilus,Grass,Empetrum nigrum,Cladonia arbuscula,Moss,Galium saxatile,Erica cinaerea,Oxalis stricta,Fern,Tormentil,Thistle,Unknown3,LatitudeN,LongitudeE
BHM-B-5,Brimham Moor,15/08/2024,SE2093665022,Bracken,283,100,,,,,,,,,,,,,,,54.080697,-1.6814908
BHM-B-6,Brimham Moor,16/08/2024,SE2096564461,Bracken,259,66,,,14,20,,,,,,,,,,,54.075653,-1.6810862
BHM-B-7,Brimham Moor,16/08/2024,SE2105964478,Bracken,257,84,15,,1,,,,10,,,,,,,,54.075802,-1.6796484
BHM-B-8,Brimham Moor,16/08/2024,SE2111664494,Bracken,251,50,,,50,,,,15,,,,,,,,54.075944,-1.6787762
BHM-B-9,Brimham Moor,16/08/2024,SE2131764512,Bracken,236,82,,,18,1,,,5,,,,,,,,54.076097,-1.6757031
BHM-B-10,Brimham Moor,16/08/2024,SE2140564575,Bracken,242,100,,,,1,,,,,,,,,,,54.07666,-1.6743538
BHM-H-9,Brimham Moor,16/08/2024,SE2149964607,Heather,248,,100,,1,,,,10,,,,,,,,54.076944,-1.6729149
BHM-H-10,Brimham Moor,16/08/2024,SE2155564571,Heather,238,,100,,5,,,,17,,,,,,,,54.076618,-1.6720616
HAW-B-1,Haweswater,12/09/2024,NY5004114814,Bracken,411,95,,,,5,,,3,,,,,,,,54.526133,-2.7734196
HAW-H-1,Haweswater,12/09/2024,NY5001814792,Heather,413,,100,,1,3,,,,,,,,,,,54.525933,-2.7737712
HAW-H-2,Haweswater,12/09/2024,NY4991314801,Heather,408,,92,,,1,,,10,,,,,,,,54.526004,-2.7753949
HAW-H-3,Haweswater,12/09/2024,NY4982214789,Heather,409,,100,,1,,,,9,,,,,,,,54.525887,-2.7767987
HAW-H-4,Haweswater,12/09/2024,NY4974414780,Heather,411,,100,,2,4,,,,,,,,,,,54.525798,-2.7780022
HAW-H-5,Haweswater,12/09/2024,NY4975714894,Heather,423,,90,,8,2,,,,,,,,,,,54.526824,-2.7778208
HAW-B-2,Haweswater,12/09/2024,NY4979114902,Bracken,414,90,,,,,,,40,,,,,,,,54.526899,-2.7772969
HAW-B-3,Haweswater,12/09/2024,NY4981614934,Bracken,415,97,,,,3,,,,,,,,,,,54.527189,-2.7769161
HAW-B-4,Haweswater,12/09/2024,NY4992015017,Bracken,417,92,,,6,10,,,8,,,,,,,,54.527946,-2.7753235
HAW-H-6,Haweswater,12/09/2024,NY5007314980,Heather,423,,96,,10,,,,12,,,,,,,,54.527628,-2.7729534
HAW-B-5,Haweswater,13/09/2024,NY5013514836,Bracken,421,95,,,,1,,,9,,,,,,,,54.52634,-2.7719711
HAW-B-6,Haweswater,13/09/2024,NY5021014855,Bracken,412,85,,,5,30,,,2,4,,,,,,,54.526518,-2.7708156
HAW-H-7,Haweswater,13/09/2024,NY5024414947,Heather,421,,100,,4,1,,,6,,,,,,,,54.527349,-2.7703059
HAW-B-7,Haweswater,13/09/2024,NY5027214990,Bracken,423,90,,,,12,,,15,2,,,,,,,54.527738,-2.7698806
HAW-H-8,Haweswater,13/09/2024,NY5024515062,Heather,423,,10,,,1,,,4,,,,,,,,54.528382,-2.7703099
HAW-B-8,Haweswater,13/09/2024,NY5027715080,Bracken,410,100,,,,,,,,,,,,,,,54.528547,-2.7698185
HAW-B-9,Haweswater,13/09/2024,NY5035415144,Bracken,388,100,,,,,,,,,,,,,,,54.52913,-2.7686397
HAW-H-9,Haweswater,13/09/2024,NY5040815162,Heather,390,,100,,6,2,,,10,,,,,,,,54.529297,-2.7678084
HAW-B-10,Haweswater,13/09/2024,NY5046415155,Bracken,389,82,,,,35,,,3,1,,,,,,,54.529239,-2.766942
HAW-H-10,Haweswater,13/09/2024,NY5054815124,Heather,389,,100,,2,,,,1,,,,,,,,54.528969,-2.7656389
