Sample ID,Site,Vegetation,SUVA (L mg-1 cm-1)
WHI-B-5,Whiteside,Bracken,0.003498331
WHI-B-6,Whiteside,Bracken,0.005493164
WHI-B-7,Whiteside,Bracken,0.002240851
WHI-B-8,Whiteside,Bracken,0.003555259
WHI-B-9,Whiteside,Bracken,0.00334072
WHI-H-1,Whiteside,Heath,0.003552855
WHI-H-10,Whiteside,Heath,0.002011956
WHI-H-2,Whiteside,Heath,0.002651469
WHI-H-3,Whiteside,Heath,0.002807099
WHI-H-4,Whiteside,Heath,0.003479679
WHI-H-5,Whiteside,Heath,0.002723012
WHI-H-6,Whiteside,Heath,0.00351205
WHI-H-7,Whiteside,Heath,0.002791981
WHI-H-8,Whiteside,Heath,0.003421154
WHI-H-9,Whiteside,Heath,0.003063794
