"","Sample ID","Site","Vegetation","Mesostigmata","Oribatida","Astigmatina","Prostigmata","Symphypleona","Entomobryomorpha","Poduromorpha","Neelidae","Araneae","Enchytraeidae","Thysanoptera","Diptera","Stigmus","Chilopoda","Diplopoda","Staphylinidae","Tingidae","Lasius flavus","Coleoptera","Diplura","Parasitoid Wasp","Pseudoscorpiones","Oniscidea","Unknown","Total Mesofauna Catch","Total Invertebrate Catch","Percentage Mites","Percentage Collembola","Percentage Other","CoreVolume","1000s Individuals per m2 to 10 cm depth","Dry soil mass (g)","Individuals per 100g dry soil","Mesostigmata per 100 g dry soil mass","Oribatida per 100 g dry soil mass","Astigmatina per 100 g dry soil mass","Prostigmata per 100 g dry soil mass","Entomobryomorpha per 100 g dry soil mass","Poduromorpha per 100 g dry soil mass","Symphypleona per 100 g dry soil mass","Neelidae per 100 g dry soil mass"
"BHM-H-4","BHM-H-4","Brimham Moor","Heather",13,136,64,129,1,13,16,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,6,374,390,87.6923076923077,8.2051282051282,4.1025641025641,0.000196349540849362,190.47663589238,219.4,170.464904284412,5.92525068368277,61.9872379216044,29.1704649042844,58.7967183226983,5.92525068368277,7.2926162260711,0.455788514129444,0.911577028258888
"BHM-H-5","BHM-H-5","Brimham Moor","Heather",6,172,56,26,0,9,3,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,272,277,93.8628158844765,4.33212996389892,1.80505415162455,0.000196349540849362,138.528462467186,144.4,188.365650969529,4.15512465373961,119.113573407202,38.781163434903,18.005540166205,6.23268698060942,2.07756232686981,0,0
"BHM-H-6","BHM-H-6","Brimham Moor","Heather",4,118,44,17,1,5,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,193,200,91.5,5,3.5,0.000196349540849362,98.2940928535546,225.7,85.5117412494462,1.77226406734603,52.281789986708,19.4949047408064,7.53212228622065,2.21533008418254,1.77226406734603,0.443066016836509,0
"BHM-H-7","BHM-H-7","Brimham Moor","Heather",3,89,35,37,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,173,94.7976878612717,4.6242774566474,0.578034682080926,0.000196349540849362,87.5988806777792,177.5,96.9014084507042,1.69014084507042,50.1408450704225,19.7183098591549,20.8450704225352,1.12676056338028,3.38028169014084,0,0
"BHM-H-8","BHM-H-8","Brimham Moor","Heather",7,117,24,40,1,13,18,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,224,228,82.4561403508772,15.7894736842105,1.75438596491229,0.000196349540849362,114.082263208271,97.5,229.74358974359,7.17948717948718,120,24.6153846153846,41.025641025641,13.3333333333333,18.4615384615385,1.02564102564103,4.1025641025641
"BHM-H-9","BHM-H-9","Brimham Moor","Heather",18,160,55,62,0,24,11,0,0,10,0,0,0,0,0,2,0,0,0,5,0,0,0,3,330,350,84.2857142857143,10,5.71428571428571,0.000196349540849362,168.067619905041,97.8,337.423312883436,18.4049079754601,163.59918200409,56.2372188139059,63.3946830265849,24.5398773006135,11.2474437627812,0,0
"BRI-B-1","BRI-B-1","Bridestones","Bracken",8,170,41,38,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,263,97.7186311787072,2.28136882129278,0,0.000196349540849362,133.944800106139,70.2,374.643874643875,11.3960113960114,242.165242165242,58.4045584045584,54.1310541310541,7.12250712250712,1.42450142450142,0,0
"BRI-B-10","BRI-B-10","Bridestones","Bracken",1,65,6,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,96.4705882352941,3.52941176470588,0,0.000196349540849362,43.2901445209955,169.5,50.1474926253687,0.589970501474926,38.3480825958702,3.53982300884956,5.89970501474926,0,1.76991150442478,0,0
"BRI-B-2","BRI-B-2","Bridestones","Bracken",22,216,94,22,1,5,53,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,414,421,84.0855106888361,14.2517814726841,1.6627078384798,0.000196349540849362,210.848468608143,110.9,373.309287646528,19.8376916140667,194.770063119928,84.761045987376,19.8376916140667,4.50856627592426,47.7908025247971,0.901713255184851,0.901713255184851
"BRI-B-3","BRI-B-3","Bridestones","Bracken",11,112,75,43,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,241,245,98.3673469387755,0,1.63265306122449,0.000196349540849362,122.74029211247,107.4,224.3947858473,10.2420856610801,104.283054003724,69.8324022346369,40.0372439478585,0,0,0,0
